,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
99,Ixtapa,75,MX,1569332536,88,20.71,-105.21,78.8,2.42
100,Kabinda,94,CD,1569332507,39,-6.14,24.49,90.05,7.96
101,Nome,1,US,1569332321,94,30.04,-94.42,79.0,4.25
102,Uruzgan,0,AF,1569332361,17,32.93,66.63,54.59,3.62
103,San Lorenzo,0,HN,1569332701,88,13.43,-87.45,78.8,0.13
104,Gigmoto,0,PH,1569332363,75,13.78,124.39,82.85,6.67
105,Tuatapere,100,NZ,1569332323,84,-46.13,167.69,39.99,5.99
106,Kasongo-Lunda,84,CD,1569332480,40,-6.48,16.82,89.51,3.56
107,Berlevag,75,NO,1569332706,81,70.86,29.09,42.8,21.92
108,Sao Felix do Xingu,53,BR,1569332707,29,-6.64,-51.99,99.41,6.15
109,College,1,US,1569332329,80,64.86,-147.8,35.01,4.7
110,Matamoros,40,US,1569332709,88,25.87,-97.51,84.0,4.7
111,Xixiang,0,CN,1569332711,74,22.58,113.87,82.99,8.95
112,Alofi,100,NU,1569332338,87,-19.06,-169.92,60.8,1.12
113,Puerto del Rosario,20,ES,1569332713,65,28.5,-13.86,80.6,19.46
114,Buala,100,SB,1569332338,87,-8.15,159.59,76.19,0.65
115,Livingstone,0,ZW,1569332715,11,-17.85,25.86,94.19,9.78
116,Laguna,75,BZ,1569332332,94,16.17,-88.94,78.8,4.7
117,Liaocheng,70,CN,1569332718,33,36.44,115.96,71.87,4.83
118,Manggar,16,ID,1569332719,91,-2.88,108.27,76.55,3.29
119,Rach Gia,20,VN,1569332447,83,10.02,105.08,82.4,4.7
120,Dryden,75,CA,1569332708,76,49.79,-92.84,57.2,10.29
121,Bredasdorp,61,ZA,1569332315,52,-34.53,20.04,66.2,14.99
122,Port Blair,100,IN,1569332316,79,11.67,92.75,81.59,10.89
123,Hobart,75,AU,1569332231,61,-42.88,147.33,48.2,6.93
124,Cherepanovo,82,RU,1569332726,72,54.23,83.37,49.55,8.32
125,Zyryanka,11,RU,1569332528,77,65.73,150.89,24.53,6.73
126,Kharan,0,PK,1569332665,15,28.58,65.42,89.33,3.91
127,Arroio do Meio,23,BR,1569332729,62,-29.4,-51.94,71.01,3.0
128,Fairbanks,1,US,1569332390,80,64.84,-147.72,35.01,4.7
129,Cherskiy,0,RU,1569332364,88,68.75,161.3,25.61,4.43
130,Boguchany,0,RU,1569332355,78,58.38,97.46,44.15,4.76
131,San Buenaventura,0,MX,1569332733,72,27.06,-101.55,79.0,3.0
132,Alta Floresta,0,BR,1569332735,70,-9.87,-56.08,84.2,1.12
133,Deputatskiy,100,RU,1569332333,98,69.3,139.9,28.31,1.34
134,Rincon,20,PA,1569332737,88,8.46,-82.28,77.0,3.36
135,Nsanje,0,MZ,1569332738,28,-16.92,35.26,89.69,12.75
136,Marsaxlokk,20,MT,1569332739,51,35.84,14.54,82.4,25.28
137,Mount Isa,49,AU,1569332381,13,-20.73,139.49,73.4,21.92
138,Madison,40,US,1569332459,100,43.07,-89.38,63.0,9.17
139,Deoli,1,IN,1569332743,80,25.76,75.37,79.07,6.89
140,Providencia,75,CO,1569332744,68,1.24,-77.6,64.4,2.89
141,Tautira,20,PF,1569332478,78,-17.73,-149.15,75.2,4.7
142,Kahului,20,US,1569332383,69,20.89,-156.47,78.8,10.29
143,Kabare,32,RW,1569332748,60,-1.65,29.38,70.79,1.32
144,Lorengau,58,PG,1569332367,82,-2.02,147.27,79.25,6.93
145,Iqaluit,90,CA,1569332344,80,63.75,-68.52,35.6,6.8
146,San Patricio,66,PY,1569332321,46,-26.98,-56.83,86.63,1.45
147,Praya,40,ID,1569332752,78,-8.71,116.27,78.8,11.41
148,Upernavik,100,GL,1569332332,96,72.79,-56.15,33.35,6.55
149,Rosarito,75,CO,1569332754,72,4.91,-75.23,73.4,4.7
150,Ambon,75,FR,1569332381,72,47.55,-2.56,69.01,13.87
151,Quatre Cocos,75,MU,1569332493,64,-20.21,57.76,75.2,11.41
152,Ginda,24,IN,1569332472,97,30.69,78.49,58.91,0.2
153,Avera,1,US,1569332533,69,33.19,-82.53,75.99,3.36
154,Australind,0,AU,1569332760,65,-33.28,115.72,55.0,7.72
155,Georgetown,75,GY,1569332286,74,6.8,-58.16,86.0,9.17
156,Ondjiva,24,AO,1569332762,5,-17.07,15.73,98.33,7.52
157,Hanna,45,CA,1569332763,64,51.64,-111.93,50.63,6.38
158,Chuy,0,UY,1569332326,58,-33.69,-53.46,63.05,5.3
159,Kaeo,0,NZ,1569332766,100,-35.1,173.78,48.99,13.85
160,Ucluelet,75,CA,1569332304,100,48.94,-125.55,55.99,11.18
161,Nalut,0,LY,1569332337,11,31.86,10.98,100.31,14.25
162,Naze,100,NG,1569332391,79,5.43,7.07,82.31,9.19
163,Lagoa,0,PT,1569332380,64,37.14,-8.45,78.01,9.17
164,Talnakh,75,RU,1569332331,93,69.49,88.39,39.2,26.84
165,Sorong,3,ID,1569332773,95,-0.86,131.25,72.05,4.14
166,Aksarka,100,RU,1569332367,93,66.56,67.8,34.97,16.87
167,Petropavlovsk-Kamchatskiy,75,RU,1569332341,100,53.05,158.65,48.2,13.42
168,Dwarka,75,IN,1569332335,70,28.58,77.04,88.0,8.05
169,Chokurdakh,0,RU,1569332327,82,70.62,147.9,25.25,6.33
170,Boende,100,CD,1569332778,60,-0.28,20.88,86.45,3.27
171,Isangel,20,VU,1569332375,100,-19.55,169.27,62.6,17.67
172,Itarema,0,BR,1569332780,31,-2.92,-39.92,97.25,11.12
173,Qaanaaq,100,GL,1569332328,92,77.48,-69.36,21.83,2.95
174,Sivaki,17,RU,1569332783,66,52.63,126.75,35.51,3.89
175,Alice Springs,12,AU,1569332460,100,-23.7,133.88,48.2,1.12
176,Igrim,100,RU,1569332785,74,63.19,64.42,35.51,10.02
177,Praia da Vitoria,40,PT,1569332338,60,38.73,-27.07,73.4,10.18
178,Kaitangata,100,NZ,1569332320,76,-46.28,169.85,37.99,1.99
179,Aginskoye,0,RU,1569332789,78,51.11,114.54,50.45,1.68
180,Pangnirtung,90,CA,1569332474,93,66.15,-65.72,35.6,8.05
181,Ilulissat,90,GL,1569332321,93,69.22,-51.1,37.4,5.82
182,Westerland,90,NL,1569332792,88,52.89,4.93,64.99,16.11
183,Havelock,40,US,1569332617,69,34.88,-76.9,77.0,10.29
184,Juneau,90,US,1569332540,93,58.3,-134.42,48.2,10.29
185,Kavieng,100,PG,1569332481,67,-2.57,150.8,83.57,3.4
186,Palmer,20,AU,1569332374,87,-34.85,139.16,50.0,4.7
187,Clarence Town,0,AU,1569332515,87,-32.59,151.78,57.0,1.12
188,Tura,100,RU,1569332403,78,64.27,100.22,37.85,11.14
189,Atar,0,MR,1569332800,9,20.52,-13.05,108.77,16.69
190,Ribeira Grande,20,PT,1569332180,57,38.52,-28.7,75.2,9.17
191,Bandarbeyla,55,SO,1569332378,68,9.49,50.81,78.35,18.59
192,Tasiilaq,75,GL,1569332339,87,65.61,-37.64,42.8,21.92
193,Port Hedland,33,AU,1569332396,68,-20.31,118.58,68.0,3.36
194,Nanortalik,100,GL,1569332348,70,60.14,-45.24,45.23,4.14
195,Paamiut,42,GL,1569332360,84,61.99,-49.67,40.91,26.75
196,Buraydah,0,SA,1569332808,15,26.33,43.97,104.0,3.36
197,Garowe,54,SO,1569332809,24,8.41,48.48,92.57,7.67
198,Hambantota,90,LK,1569332753,100,6.12,81.12,78.8,6.93
199,Kariba,37,ZW,1569332811,36,-16.53,28.78,90.77,4.47
200,Burnie,86,AU,1569332376,83,-41.05,145.91,46.99,1.01
201,Cabedelo,75,BR,1569332317,65,-6.97,-34.84,82.4,18.34
202,Palestine,75,US,1569332623,100,31.76,-95.63,80.6,4.7
203,Smolenka,30,PL,1569332815,94,54.15,22.76,57.0,5.91
204,Banes,20,CU,1569332816,88,20.96,-75.72,80.6,2.24
205,Tezu,100,IN,1569332329,85,27.93,96.16,69.35,0.72
206,Nouadhibou,0,MR,1569332357,61,20.93,-17.03,78.8,16.11
207,Marsa Matruh,0,EG,1569332511,71,31.35,27.25,76.37,10.67
208,Bellevue,40,DE,1569332821,63,50.05,10.19,68.0,5.82
209,Nador,0,MA,1569332405,51,35.17,-2.93,86.0,8.05
210,Conakry,75,GN,1569332823,66,9.52,-13.7,86.0,4.7
211,Okha,100,RU,1569332824,67,53.59,142.95,48.29,36.1
212,Bilma,0,NE,1569332410,8,18.69,12.92,98.87,5.41
213,Mount Gambier,40,AU,1569332331,93,-37.83,140.78,42.8,5.82
214,Natchitoches,1,US,1569332741,94,31.76,-93.09,73.99,5.08
215,Nampula,75,MZ,1569332829,38,-15.12,39.26,87.8,4.7
216,Manacapuru,40,BR,1569332830,66,-3.3,-60.62,84.2,3.36
217,Port-Gentil,75,GA,1569332405,74,-0.72,8.78,84.2,13.87
218,Baykit,100,RU,1569332513,78,61.68,96.39,41.99,10.6
219,Zapolyarnyy,75,RU,1569332833,80,69.43,30.82,41.0,20.8
220,Mar del Plata,99,AR,1569332330,44,-46.43,-67.52,63.23,24.56
221,Yulara,90,AU,1569332335,71,-25.24,130.99,55.4,13.87
222,Fort Saint James,0,CA,1569332837,87,54.43,-124.25,39.83,6.49
223,Mmabatho,0,ZA,1569332838,15,-25.85,25.61,80.6,2.24
224,Raudeberg,20,NO,1569332840,67,61.99,5.14,59.0,5.82
225,Mitsamiouli,0,KM,1569332841,80,-11.38,43.28,78.53,20.51
226,Nhulunbuy,0,AU,1569332317,83,-12.18,136.78,71.6,5.82
227,Udachnyy,90,RU,1569332315,93,66.42,112.4,35.6,4.47
228,Los Llanos de Aridane,40,ES,1569332385,61,28.66,-17.92,78.8,11.41
229,Umm Lajj,0,SA,1569332354,78,25.02,37.27,83.93,5.3
230,Saint-Raphael,40,HT,1569332847,66,19.43,-72.2,84.2,2.24
231,Vao,54,EE,1569332505,69,59.1,26.19,47.57,3.15
232,Okato,40,NZ,1569332849,84,-39.19,173.88,44.01,10.0
233,Malpe,75,IN,1569332850,78,13.35,74.72,82.4,3.36
234,Ambilobe,0,MG,1569332338,60,-13.19,49.05,81.05,11.56
235,Gold Coast,90,AU,1569332473,72,-28.0,153.41,66.0,3.36
236,Todos Santos,5,MX,1569332853,73,23.45,-110.23,78.01,7.63
237,Baracoa,100,CU,1569332855,73,20.35,-74.5,83.03,3.85
238,Zaraza,52,VE,1569332856,74,9.35,-65.33,82.49,6.13
239,Valley City,75,US,1569332857,100,46.92,-98.0,60.8,3.36
240,Bua Yai,100,TH,1569332859,71,15.59,102.43,75.29,6.35
241,Marawi,85,PH,1569332860,87,8.0,124.29,79.0,4.0
242,Katsuura,75,JP,1569332327,69,33.93,134.5,73.4,14.99
243,Kerouane,50,GN,1569332862,74,12.23,-12.34,85.91,4.09
244,Ipixuna,20,BR,1569332863,66,-1.76,-48.8,84.2,12.75
245,Saint-Denis,90,FR,1569332865,93,48.94,2.36,64.0,9.17
246,Lusambo,96,CD,1569332866,75,-4.97,23.44,74.57,6.29
247,Kutum,99,SD,1569332867,22,14.2,24.66,90.05,10.51
248,Olga,40,US,1569332868,82,34.11,-118.17,66.2,4.0
249,Luderitz,0,NA,1569332323,19,-26.65,15.16,91.4,11.41
250,Olkhovka,33,RU,1569332871,72,53.21,60.61,37.31,10.69
251,Daan,20,YE,1569332872,30,17.0,43.43,97.43,10.94
252,Biak,68,ID,1569332385,65,-0.91,122.88,59.09,4.09
253,Orzhytsya,59,UA,1569332874,34,49.79,32.7,53.15,4.97
254,Rocha,0,UY,1569332327,48,-34.48,-54.34,67.91,3.53
255,Xining,100,CN,1569332876,53,36.62,101.77,42.89,4.81
256,Arraial do Cabo,75,BR,1569332328,56,-22.97,-42.02,71.6,12.75
257,Beloha,0,MG,1569332879,64,-25.17,45.06,72.05,13.13
258,Kuusamo,90,FI,1569332880,64,65.96,29.19,35.6,12.75
259,Saint-Francois,90,FR,1569332393,68,46.42,3.91,66.2,6.93
260,Kerman,0,IR,1569332593,5,30.29,57.06,95.0,4.7
261,Caravelas,99,BR,1569332333,69,-17.73,-39.27,72.95,14.45
262,Socoltenango,100,MX,1569332814,96,16.22,-92.25,65.03,0.74
263,Kavaratti,100,IN,1569332322,79,10.57,72.64,82.67,10.8
264,Lashio,92,MM,1569332514,87,22.93,97.75,67.91,1.23
265,Avarua,33,CK,1569332324,77,-21.21,-159.78,62.6,2.24
266,Shingu,85,JP,1569332333,96,33.72,135.99,59.99,5.84
267,Rio Gallegos,0,AR,1569332684,71,-51.62,-69.22,55.4,31.09
268,Barvinkove,0,UA,1569332891,31,48.91,37.03,52.07,1.72
269,Beringovskiy,0,RU,1569332477,57,63.05,179.32,28.67,4.54
270,Pemba,20,MZ,1569332401,69,-12.97,40.52,82.4,16.11
271,Benalla,0,AU,1569332379,100,-36.55,145.99,46.99,5.26
272,Camacha,40,PT,1569332895,69,33.08,-16.33,80.6,11.41
273,Sokolo,18,ML,1569332896,16,14.74,-6.12,103.55,6.64
274,Ayr,28,AU,1569332897,86,-19.58,147.4,66.0,2.64
275,Nikolskoye,40,RU,1569332326,48,59.7,30.79,48.99,11.18
276,Somerville,40,US,1569332746,64,40.57,-74.61,73.0,11.41
277,Peleduy,100,RU,1569332901,89,59.63,112.75,45.95,8.48
278,Viedma,0,AR,1569332506,30,-40.81,-62.99,73.67,16.8
279,Constitucion,5,MX,1569332537,100,23.99,-104.67,62.01,2.15
280,Sechura,77,PE,1569332398,89,-5.56,-80.82,63.41,7.14
281,Basco,1,US,1569332905,82,40.33,-91.2,64.4,5.82
282,Polis,20,CY,1569332907,61,35.04,32.42,81.0,14.99
283,Coahuayana,91,MX,1569332908,94,18.62,-100.35,72.77,1.3
284,Coquimbo,90,CL,1569332470,87,-29.95,-71.34,50.0,4.7
285,Develi,20,TR,1569332910,13,38.39,35.49,81.0,3.36
286,Iquique,90,CL,1569332472,77,-20.22,-70.14,59.0,4.7
287,East London,75,ZA,1569332337,100,-33.02,27.91,59.0,11.41
288,Narsaq,75,GL,1569332379,30,60.91,-46.05,53.6,19.46
289,Viransehir,0,TR,1569332915,12,37.24,39.76,76.73,7.25
290,Ouadda,74,CF,1569332916,80,8.07,22.4,81.05,2.19
291,Benguela,0,AO,1569332917,84,-12.58,13.4,72.95,8.95
292,Guerrero Negro,0,MX,1569332359,85,27.97,-114.04,68.81,12.03
293,Wageningen,90,NL,1569332919,82,51.98,5.66,66.2,9.17
294,Richards Bay,70,ZA,1569332366,74,-28.77,32.06,66.11,13.02
295,Sterling,1,US,1569332726,60,39.0,-77.4,72.0,16.11
296,Namibe,0,AO,1569332391,61,-15.19,12.15,77.0,11.41
297,Uglegorsk,47,RU,1569332924,69,49.08,142.06,48.29,13.73
298,Klaksvik,75,FO,1569332399,93,62.23,-6.59,53.6,20.8
299,Gazanjyk,0,TM,1569332926,20,39.24,55.52,79.25,11.72
300,Khotiv,0,UA,1569332927,28,50.33,30.47,60.8,6.71
301,Severo-Kurilsk,100,RU,1569332338,93,50.68,156.12,49.73,23.47
302,Thompson,40,CA,1569332339,71,55.74,-97.86,50.0,12.75
303,Chingirlau,51,KZ,1569332931,62,51.09,54.08,43.25,5.19
304,Gimli,100,CA,1569332932,81,50.63,-96.99,57.0,12.66
305,Sanchez,20,DO,1569332933,88,19.23,-69.61,80.6,5.82
306,Tilichiki,100,RU,1569332934,87,60.47,166.1,35.33,7.18
307,Saint-Pierre,100,FR,1569332935,93,48.95,4.24,60.01,16.11
308,Wanxian,100,CN,1569332937,78,30.8,108.39,66.47,5.86
309,Fonte Boa,97,BR,1569332938,59,-2.51,-66.09,85.91,1.07
310,Guhagar,100,IN,1569332939,82,17.48,73.19,81.95,13.94
311,Waddan,0,LY,1569332940,12,29.16,16.14,99.59,6.89
312,Sao Jose da Coroa Grande,15,BR,1569332941,59,-8.9,-35.15,82.31,11.48
313,Taoudenni,0,ML,1569332383,6,22.68,-3.98,110.03,12.57
314,Tongchuan,90,CN,1569332944,100,34.9,108.95,60.8,2.24
315,Nemuro,72,JP,1569332945,59,43.32,145.57,60.53,19.3
316,Ghanzi,72,BW,1569332946,6,-21.7,21.65,87.35,9.17
317,Nyurba,97,RU,1569332947,86,63.29,118.35,36.59,3.24
318,Broome,75,GB,1569332368,93,52.47,1.45,68.0,12.75
319,Goderich,2,CA,1569332949,90,43.74,-81.71,64.0,7.0
320,Toledo,0,ES,1569332951,36,39.86,-4.02,80.01,10.29
321,Cairns,40,AU,1569332286,78,-16.92,145.77,72.0,9.17
322,Whitehorse,90,CA,1569332774,80,60.72,-135.06,39.2,3.36
323,Cockburn Town,100,TC,1569332360,75,21.46,-71.14,83.57,17.27
324,Innisfail,34,AU,1569332955,90,-17.52,146.03,68.09,6.22
325,Hami,0,CN,1569332956,11,42.84,93.51,75.83,8.9
326,Yartsevo,35,RU,1569332958,73,55.07,32.69,42.53,4.5
327,Reforma,5,MX,1569332959,100,24.02,-104.65,62.01,2.15
328,Parabel,93,RU,1569332960,87,58.71,81.5,40.19,7.58
329,Makarov,57,RU,1569332961,90,48.62,142.78,37.67,4.05
330,Ivdel,82,RU,1569332962,79,60.7,60.42,30.11,6.2
331,Mayor Pablo Lagerenza,20,PY,1569332964,23,-19.93,-60.77,101.93,3.94
332,Ola,100,RU,1569332498,83,59.58,151.3,41.09,26.87
333,Jasper,1,US,1569332966,83,33.83,-87.28,78.01,5.03
334,Viet Tri,89,VN,1569332967,69,21.3,105.43,78.8,4.7
335,Dandong,0,CN,1569332969,79,40.12,124.37,58.73,5.06
336,Esperance,28,AU,1569332390,36,-33.86,121.89,64.4,12.75
337,Sioux Lookout,75,CA,1569332400,76,50.1,-91.92,57.2,5.82
338,Cabo San Lucas,5,MX,1569332746,73,22.89,-109.91,78.01,7.87
339,Oranjemund,0,ZA,1569332973,65,-28.55,16.43,61.07,25.12
340,Codrington,90,AU,1569332387,77,-28.95,153.24,63.0,5.82
341,San Angelo,1,US,1569332975,78,31.46,-100.44,75.99,5.82
342,Whitianga,69,NZ,1569332977,88,-36.83,175.7,51.01,11.01
343,Ocampo,0,MX,1569332978,72,27.32,-102.4,69.35,4.29
344,Bonavista,2,CA,1569332979,84,48.65,-53.11,52.0,4.0
345,Jieshou,100,CN,1569332980,43,33.26,115.35,74.03,4.41
346,Brenham,90,US,1569332787,88,30.17,-96.4,81.0,8.05
347,Grand Baie,75,MU,1569332982,64,-20.02,57.58,75.2,11.41
348,Marienburg,75,DE,1569332536,49,52.12,9.98,73.0,8.05
349,Turhal,40,TR,1569332985,14,40.38,36.08,82.4,3.36
350,Pacific Grove,1,US,1569332471,48,36.62,-121.92,68.0,10.29
351,La Asuncion,0,AR,1569332987,27,-26.05,-65.39,68.27,8.46
352,Campbell River,40,CA,1569332926,100,50.02,-125.24,55.4,3.38
353,Sabha,0,LY,1569332504,13,27.03,14.43,96.35,12.59
354,Terrace,90,CA,1569332990,87,54.52,-128.61,51.8,14.99
355,The Valley,75,AI,1569332477,83,18.22,-63.06,81.0,16.11
356,Ust-Tsilma,100,RU,1569332992,91,65.44,52.15,36.59,8.72
357,Horsham,4,AU,1569332993,95,-36.71,142.2,40.01,3.6
358,Vila Velha,40,BR,1569332995,58,-3.71,-38.6,86.0,18.34
359,Freeport,40,BS,1569332754,74,26.54,-78.7,80.6,8.05
360,Almaznyy,40,RU,1569333000,38,48.03,40.04,59.0,8.95
361,Abha,75,SA,1569333001,11,18.22,42.5,84.2,5.82
362,Waingapu,77,ID,1569333003,87,-9.65,120.26,72.77,10.85
363,Nueva Guinea,1,NI,1569333004,80,11.69,-84.46,81.95,5.66
364,Ingham,46,AU,1569333005,98,-18.65,146.16,63.23,2.08
365,Aquiraz,75,BR,1569332933,55,-3.9,-38.39,86.0,18.34
366,Araouane,0,ML,1569332541,5,18.9,-3.53,105.53,5.21
367,Marrakesh,20,MA,1569332512,26,31.63,-7.99,95.0,5.82
368,Anadyr,20,RU,1569333024,92,64.73,177.51,26.6,4.47
369,Merauke,54,ID,1569333034,79,-8.49,140.4,77.45,20.4
370,Tiksi,100,RU,1569333035,87,71.64,128.87,33.89,6.38
371,San,28,ML,1569332763,26,13.3,-4.9,99.41,6.35
372,Heihe,0,RU,1569333053,74,50.24,127.51,33.8,4.47
373,Atambua,89,ID,1569333069,81,-9.11,124.89,78.35,10.8
374,Byron Bay,90,AU,1569333074,72,-28.65,153.62,66.0,5.82
375,Shelburne,90,CA,1569333008,87,44.08,-80.2,63.0,2.24
